lg_code,machiaza_id,prc_id,city,ward,oaza_cho,chome,koaza,machiaza_dist,prc_num1,prc_num2,prc_num3,rsdt_addr_flg,prc_rec_flg,prc_area_code,efct_date,ablt_date,src_code,remarks,real_prop_num
015555,0001001,000010000100000,遠軽町,,一条通北,一丁目,,,1,1,,0,1,,1947-04-17,,1,,
015555,0001001,000010000200000,遠軽町,,一条通北,一丁目,,,1,2,,0,1,,1947-04-17,,1,,
015555,0001001,000010000300000,遠軽町,,一条通北,一丁目,,,1,3,,0,1,,1947-04-17,,1,,
015555,0001001,000010000400000,遠軽町,,一条通北,一丁目,,,1,4,,0,1,,1947-04-17,,1,,
015555,0001001,000010000500000,遠軽町,,一条通北,一丁目,,,1,5,,0,1,,1947-04-17,,1,,
015555,0001001,000010000600000,遠軽町,,一条通北,一丁目,,,1,6,,0,1,,1947-04-17,,1,,
015555,0001001,000010000700000,遠軽町,,一条通北,一丁目,,,1,7,,0,1,,1947-04-17,,1,,
015555,0001001,000010000800000,遠軽町,,一条通北,一丁目,,,1,8,,0,1,,1947-04-17,,1,,
015555,0001001,000010000900000,遠軽町,,一条通北,一丁目,,,1,9,,0,1,,1947-04-17,,1,,
015555,0001001,000010001000000,遠軽町,,一条通北,一丁目,,,1,10,,0,1,,1947-04-17,,1,,
015555,0001001,000010001100000,遠軽町,,一条通北,一丁目,,,1,11,,0,1,,1947-04-17,,1,,
015555,0001001,000010001200000,遠軽町,,一条通北,一丁目,,,1,12,,0,1,,1947-04-17,,1,,
015555,0001001,000010001300000,遠軽町,,一条通北,一丁目,,,1,13,,0,1,,1947-04-17,,1,,
015555,0001001,000010001400000,遠軽町,,一条通北,一丁目,,,1,14,,0,1,,1947-04-17,,1,,
015555,0001001,000010001500000,遠軽町,,一条通北,一丁目,,,1,15,,0,1,,1947-04-17,,1,,
015555,0001001,000010001600000,遠軽町,,一条通北,一丁目,,,1,16,,0,1,,1947-04-17,,1,,
015555,0001001,000010001700000,遠軽町,,一条通北,一丁目,,,1,17,,0,1,,1947-04-17,,1,,
015555,0001001,000010001800000,遠軽町,,一条通北,一丁目,,,1,18,,0,1,,1947-04-17,,1,,
015555,0001001,000010001900000,遠軽町,,一条通北,一丁目,,,1,19,,0,1,,1947-04-17,,1,,
