lg_code,machiaza_id,prc_id,city,ward,oaza_cho,chome,koaza,machiaza_dist,prc_num1,prc_num2,prc_num3,rsdt_addr_flg,prc_rec_flg,prc_area_code,efct_date,ablt_date,src_code,remarks,real_prop_num
014303,0000000,000010000500000,月形町,,,,,,1,5,,0,1,,1947-04-17,,1,,
014303,0000000,000010000600000,月形町,,,,,,1,6,,0,1,,1947-04-17,,1,,
014303,0000000,000010000700000,月形町,,,,,,1,7,,0,1,,1947-04-17,,1,,
014303,0000000,000010000800000,月形町,,,,,,1,8,,0,1,,1947-04-17,,1,,
014303,0000000,000010000900000,月形町,,,,,,1,9,,0,1,,1947-04-17,,1,,
014303,0000000,000010001000000,月形町,,,,,,1,10,,0,1,,1947-04-17,,1,,
014303,0000000,000010005000000,月形町,,,,,,1,50,,0,1,,1947-04-17,,1,,
014303,0000000,000010005100000,月形町,,,,,,1,51,,0,1,,1947-04-17,,1,,
014303,0000000,000010005200000,月形町,,,,,,1,52,,0,1,,1947-04-17,,1,,
014303,0000000,000010005300000,月形町,,,,,,1,53,,0,1,,1947-04-17,,1,,
014303,0000000,000010005400000,月形町,,,,,,1,54,,0,1,,1947-04-17,,1,,
014303,0000000,000010005500000,月形町,,,,,,1,55,,0,1,,1947-04-17,,1,,
014303,0000000,000010005600000,月形町,,,,,,1,56,,0,1,,1947-04-17,,1,,
014303,0000000,000010005700000,月形町,,,,,,1,57,,0,1,,1947-04-17,,1,,
014303,0000000,000010005800000,月形町,,,,,,1,58,,0,1,,1947-04-17,,1,,
014303,0000000,000020000000000,月形町,,,,,,2,,,0,1,,1947-04-17,,1,,
014303,0000000,000020000100000,月形町,,,,,,2,1,,0,1,,1947-04-17,,1,,
014303,0000000,000020000400000,月形町,,,,,,2,4,,0,1,,1947-04-17,,1,,
014303,0000000,000040000200000,月形町,,,,,,4,2,,0,1,,1947-04-17,,1,,
014303,0000000,000040000600000,月形町,,,,,,4,6,,0,1,,1947-04-17,,1,,
014303,0000000,000050000100000,月形町,,,,,,5,1,,0,1,,1947-04-17,,1,,
014303,0000000,000050000600000,月形町,,,,,,5,6,,0,1,,1947-04-17,,1,,
014303,0000000,000050000700000,月形町,,,,,,5,7,,0,1,,1947-04-17,,1,,
014303,0000000,000050001100000,月形町,,,,,,5,11,,0,1,,1947-04-17,,1,,
014303,0000000,000050001200000,月形町,,,,,,5,12,,0,1,,1947-04-17,,1,,
014303,0000000,000050001300000,月形町,,,,,,5,13,,0,1,,1947-04-17,,1,,
014303,0000000,000050001400000,月形町,,,,,,5,14,,0,1,,1947-04-17,,1,,
014303,0000000,000050001800000,月形町,,,,,,5,18,,0,1,,1947-04-17,,1,,
014303,0000000,000090000100000,月形町,,,,,,9,1,,0,1,,1947-04-17,,1,,
014303,0000000,000090000200000,月形町,,,,,,9,2,,0,1,,1947-04-17,,1,,
014303,0000000,000100000100000,月形町,,,,,,10,1,,0,1,,1947-04-17,,1,,
014303,0000000,000100000200000,月形町,,,,,,10,2,,0,1,,1947-04-17,,1,,
014303,0000000,000100000300000,月形町,,,,,,10,3,,0,1,,1947-04-17,,1,,
014303,0000000,000100000400000,月形町,,,,,,10,4,,0,1,,1947-04-17,,1,,
014303,0000000,000100000500000,月形町,,,,,,10,5,,0,1,,1947-04-17,,1,,
014303,0000000,000100000600000,月形町,,,,,,10,6,,0,1,,1947-04-17,,1,,
014303,0000000,000100000700000,月形町,,,,,,10,7,,0,1,,1947-04-17,,1,,
014303,0000000,000100000800000,月形町,,,,,,10,8,,0,1,,1947-04-17,,1,,
014303,0000000,000100000900000,月形町,,,,,,10,9,,0,1,,1947-04-17,,1,,
014303,0000000,000100001000000,月形町,,,,,,10,10,,0,1,,1947-04-17,,1,,
014303,0000000,000100001100000,月形町,,,,,,10,11,,0,1,,1947-04-17,,1,,
014303,0000000,000100001200000,月形町,,,,,,10,12,,0,1,,1947-04-17,,1,,
014303,0000000,000110000100000,月形町,,,,,,11,1,,0,1,,1947-04-17,,1,,
014303,0000000,000110000200000,月形町,,,,,,11,2,,0,1,,1947-04-17,,1,,
014303,0000000,000110000300000,月形町,,,,,,11,3,,0,1,,1947-04-17,,1,,
014303,0000000,000110000400000,月形町,,,,,,11,4,,0,1,,1947-04-17,,1,,
014303,0000000,000110000500000,月形町,,,,,,11,5,,0,1,,1947-04-17,,1,,
014303,0000000,000110000600000,月形町,,,,,,11,6,,0,1,,1947-04-17,,1,,
014303,0000000,000110000700000,月形町,,,,,,11,7,,0,1,,1947-04-17,,1,,
014303,0000000,000110000800000,月形町,,,,,,11,8,,0,1,,1947-04-17,,1,,
014303,0000000,000110000900000,月形町,,,,,,11,9,,0,1,,1947-04-17,,1,,
014303,0000000,000110001000000,月形町,,,,,,11,10,,0,1,,1947-04-17,,1,,
014303,0000000,000110001100000,月形町,,,,,,11,11,,0,1,,1947-04-17,,1,,
014303,0000000,000110001200000,月形町,,,,,,11,12,,0,1,,1947-04-17,,1,,
014303,0000000,000110001300000,月形町,,,,,,11,13,,0,1,,1947-04-17,,1,,
014303,0000000,000110001400000,月形町,,,,,,11,14,,0,1,,1947-04-17,,1,,
014303,0000000,000110001500000,月形町,,,,,,11,15,,0,1,,1947-04-17,,1,,
014303,0000000,009990046100000,月形町,,,,,,999,461,,0,1,,1947-04-17,,1,,
014303,0000000,009990046200000,月形町,,,,,,999,462,,0,1,,1947-04-17,,1,,
014303,0000000,010010001300000,月形町,,,,,,1001,13,,0,1,,1947-04-17,,1,,
014303,0000000,010060000100000,月形町,,,,,,1006,1,,0,1,,1947-04-17,,1,,
014303,0000000,010060001300000,月形町,,,,,,1006,13,,0,1,,1947-04-17,,1,,
014303,0000000,010090011300000,月形町,,,,,,1009,113,,0,1,,1947-04-17,,1,,
014303,0000000,010100032900000,月形町,,,,,,1010,329,,0,1,,1947-04-17,,1,,
014303,0000000,010100050500000,月形町,,,,,,1010,505,,0,1,,1947-04-17,,1,,
014303,0000000,010100050600000,月形町,,,,,,1010,506,,0,1,,1947-04-17,,1,,
014303,0000000,010100050700000,月形町,,,,,,1010,507,,0,1,,1947-04-17,,1,,
